A BOMB,2,2,2,2
ABBOTTS,2,2,2,2
Abortion,0,0,2,3
Abortion,3,3,4,4
Abortions,0,0,2,3
ACAPULCO GOLD,3,3,3,3
Acid,2,2,2,3
ACID,3,3,4,4
ACID FREAK,3,3,3,3
ACID HOUSE,3,3,3,3
ACIDHEAD,4,4,4,4
AFGHAN,3,3,3,3
AFGHAN BLACK,3,3,3,3
agge,3,3,2,2
Aggro,0,0,1,1
Agony,2,2,2,2
AIP,2,2,2,2
AIR BLAST,3,3,3,3
Airhead,0,0,1,1
AIRHEAD,2,2,2,2
Airheads,0,0,1,1
Alabama hot pocket,3,3,3,3
Alcohol,1,2,3,3
Alcoholic,1,2,2,3
Alcoholics,1,2,2,3
ALPHA,2,2,2,1
AMES,2,2,2,2
AMT,3,3,3,3
Anal,4,4,4,4
ANALGESICS,3,3,3,3
ANAVAR,2,2,2,3
angel dust,4,4,4,4
ANGEL DUST,4,4,4,4
angeldust,4,4,4,4
ANGIE,2,2,2,2
Anorexia,2,2,3,3
Anorexic,3,3,3,3
Anus,0,1,2,2
Arse,1,1,1,0
Arsehole,2,2,2,1
ARTILLERY,4,4,4,4
ASHES,3,3,3,3
Ass,2,2,1,1
Ass bag,3,3,2,2
Ass bags,3,3,2,2
Ass bandit,1,1,2,2
Ass bandits,1,1,2,2
Ass banger,1,1,2,2
Ass bangers,1,1,2,2
Ass cock,4,4,3,3
Ass cocks,4,4,3,3
Ass face,3,3,2,2
Ass faces,3,3,2,2
Ass fuck,4,4,3,2
Ass fuckers,4,4,3,3
Ass goblin,1,2,2,1
Ass goblins,1,2,2,1
Ass hat,1,1,2,1
Ass hats,1,1,2,1
Ass hole,3,3,2,1
Ass holes,3,3,2,2
Ass-bag,3,3,2,2
Ass-bags,3,3,2,2
Ass-bandit,1,1,2,2
Ass-bandits,1,1,2,2
Ass-banger,1,1,2,2
Ass-bangers,1,1,2,2
Ass-cock,4,4,3,3
Ass-cocks,4,4,3,3
Ass-face,3,3,2,2
Ass-faces,3,3,2,2
Ass-fuck,4,4,3,2
Ass-fucker,4,4,3,3
Ass-goblin,1,2,2,1
Ass-goblins,1,2,2,1
Ass-hat,1,1,2,1
Ass-hole,3,3,2,1
Ass-holes,3,3,2,2
Ass-monkey,3,2,2,1
Ass-monkeys,3,2,2,1
Ass-munch,3,3,3,2
Ass-muncher,3,3,3,2
Ass-munchers,3,3,3,2
Ass-nigger,4,4,3,3
Ass-niggers,4,4,3,3
Ass-pirate,3,3,3,3
Ass-pirates,3,3,3,3
Ass-sucker,3,3,3,2
Ass-suckers,3,3,3,2
Assault,4,4,3,3
Assaulter,4,4,4,3
Assaulters,3,4,4,3
Assaulting,4,4,4,3
Assaults,3,3,3,3
Assbag,3,3,2,2
Assbags,3,3,2,2
Assbandit,1,2,2,3
Assbandits,1,1,2,2
Assbanger,1,1,2,2
Assbangers,1,1,2,2
Assbite,1,1,1,1
Assclown,3,3,2,2
Asscock,4,4,3,3
Asscracker,3,3,3,2
Asscrackers,3,3,3,2
Asses,2,2,1,1
Assface,3,3,3,2
Assfaces,3,3,2,2
Assfuck,4,4,3,3
Assfucker,4,4,3,3
